doc_id,may_doc_title,apr_doc_title,dec_doc_title,distance_dec_to_apr,distance_may_to_apr
frus1969-76ve04d177,177. Telegram 2080 From the Embassy in Iran                             to the Department of State  ,177. Telegram 2080 From the Embassy in Iran                             to the Department of State  ,"177. Telegram 2080 From the Embassy in Iran                             to the Department of State, April 11, 1972,                                 0645Z  ",55,0
frus1969-76ve04d178,178. Telegram 64317 From the Department of                                 State to the Embassy in Iran  ,178. Telegram 64317 From the Department of                                 State to the Embassy in Iran  ,"178. Telegram 64317 From the Department of                                 State to the Embassy in Iran, April                             14, 1972, 0235Z  ",51,0
frus1969-76ve04d179,179. Memorandum From Harold                                 Saunders of the National Security Council Staff for the                                 Files  ,179. Memorandum From Harold                                 Saunders of the National Security Council Staff for the                                 Files  ,"179. Memorandum From Harold                                 Saunders of the National Security Council Staff for the                             Files, Washington, April 26, 1972  ",29,0
frus1969-76ve04d180,180. Intelligence Report 2035–72  ,180. Intelligence Report 2035–72  ,"180. Intelligence Report 2035–72, Washington, May 1972  ",22,0
frus1969-76ve04d181,181. Intelligence Memorandum ER IM 72–79  ,181. Intelligence Memorandum ER IM 72–79  ,"181. Intelligence Memorandum ER IM 72–79, Washington, May 1972  ",22,0
frus1969-76ve04d182,182. Telegram 2488 From the Embassy in Iran                             to the Department of State  ,182. Telegram 2488 From the Embassy in Iran                             to the Department of State  ,"182. Telegram 2488 From the Embassy in Iran                             to the Department of State, May 1, 1972,                                 0907Z  ",52,0
frus1969-76ve04d183,183. Telegram 2603 From the Embassy in Iran                             to the Department of State  ,183. Telegram 2603 From the Embassy in Iran                             to the Department of State  ,"183. Telegram 2603 From the Embassy in Iran                             to the Department of State, May 4, 1972,                                 1300Z  ",52,0
frus1969-76ve04d184,184. Telegram 2604 From the Embassy in Iran                             to the Department of State  ,184. Telegram 2604 From the Embassy in Iran                             to the Department of State  ,"184. Telegram 2604 From the Embassy in Iran                             to the Department of State, May 4, 1972,                                 1302Z  ",52,0
frus1969-76ve04d185,185. Memorandum From the Director of Central Intelligence (Helms) to the President’s                             Assistant for National Security Affairs (Kissinger)  ,185. Memorandum From the Director of Central Intelligence (Helms) to the President’s                             Assistant for National Security Affairs (Kissinger)  ,"185. Memorandum From the Director of Central Intelligence (Helms) to the President’s                             Assistant for National Security Affairs (Kissinger), Washington, May 4, 1972  ",25,0
frus1969-76ve04d186,186. Telegram 78854 From the Department of                                 State to the Embassy in Iran  ,186. Telegram 78854 From the Department of                                 State to the Embassy in Iran  ,"186. Telegram 78854 From the Department of                                 State to the Embassy in Iran, May                             5, 1972, 2123Z  ",48,0
frus1969-76ve04d187,187. Telegram 2642 From the Embassy in Iran                             to the Department of State  ,187. Telegram 2642 From the Embassy in Iran                             to the Department of State  ,"187. Telegram 2642 From the Embassy in Iran                             to the Department of State, May 6, 1972,                                 1415Z  ",52,0
frus1969-76ve04d188,188. Telegram 2641 From the Embassy in Iran                             to the Department of State  ,188. Telegram 2641 From the Embassy in Iran                             to the Department of State  ,"188. Telegram 2641 From the Embassy in Iran                             to the Department of State, May 6, 1972,                                 1315Z  ",52,0
frus1969-76ve04d189,189. Memorandum From the President’s Assistant for National Security Affairs to President Nixon  ,189. Memorandum From the President’s Assistant for National Security Affairs to President Nixon  ,"189. Memorandum From the Presidents Assistant for National Security Affairs to President Nixon, Washington, May 6,                                 1972  ",58,0
frus1969-76ve04d190,190. Memorandum From the Director of Central Intelligence (Helms) to the President’s                             Assistant for National Security Affairs (Kissinger)  ,190. Memorandum From the Director of Central Intelligence (Helms) to the President’s                             Assistant for National Security Affairs (Kissinger)  ,"190. Memorandum From the Director of Central Intelligence (Helms) to the President’s                             Assistant for National Security Affairs (Kissinger), Washington, May 8, 1972  ",25,0
frus1969-76ve04d191,191. Telegram 2774 From the Embassy in Iran                             to the Department of State  ,191. Telegram 2774 From the Embassy in Iran                             to the Department of State  ,"191. Telegram 2774 From the Embassy in                                 Tehran to the Department of State,                                   ",44,0
frus1969-76ve04d192,192. Memorandum From Secretary of State Rogers to President Nixon  ,192. Memorandum From Secretary of State Rogers to President Nixon  ,"192. Memorandum From Secretary of State Rogers to President Nixon, Washington, May 12,                                 1972  ",58,0
frus1969-76ve04d193,193. Telegram 2890 From the Embassy in Iran                             to the Department of State  ,193. Telegram 2890 From the Embassy in Iran                             to the Department of State  ,"193. Telegram 2890 From the Embassy in                                 Tehran to the Department of State,                             May 17, 1972, 0720Z  ",59,0
frus1969-76ve04d194,194. Memorandum From Harold                                 Saunders and Samuel Hoskinson of the                             National Security Council Staff to the President’s Assistant for                             National Security Affairs (Kissinger)  ,194. Memorandum From Harold                                 Saunders and Samuel Hoskinson of the                             National Security Council Staff to the President’s Assistant for                             National Security Affairs (Kissinger)  ,"194. Memorandum From Harold                                 Saunders and Samuel Hoskinson of the                             National Security Council Staff to the Presidents Assistant for National                             Security Affairs (Kissinger), Washington, May 17, 1972  ",43,0
frus1969-76ve04d195,195. Memorandum From the Deputy Secretary of Defense (Rush) to the President’s Assistant for                             National Security Affairs (Kissinger)  ,195. Memorandum From the Deputy Secretary of Defense (Rush) to the President’s Assistant for                             National Security Affairs (Kissinger)  ,"195. Memorandum From the Deputy Secretary of Defense (Rush) to the President’s Assistant for                             National Security Affairs (Kissinger), Washington, May 18, 1972  ",26,0
frus1969-76ve04d196,196. Memorandum From the President’s Assistant for National Security                             Affairs (Kissinger)                             to President Nixon  ,196. Memorandum From the President’s Assistant for National Security                             Affairs (Kissinger)                             to President Nixon  ,"196. Memorandum From the President’s Assistant for National Security                             Affairs (Kissinger)                             to President Nixon,                             Washington, May 18, 1972  ",54,0
frus1969-76ve04d197,197. Hakto 46 Message From Winston                                 Lord and Peter Rodman of the National Security Council                             Staff to the President’s Deputy Assistant for National Security Affairs                                 (Haig)  ,197. Hakto 46 Message From Winston                                 Lord and Peter Rodman of the National Security Council                             Staff to the President’s Deputy Assistant for National Security Affairs                                 (Haig)  ,"197. Hakto 46 Message From Lord/Rodman to Haig, May 27, 1972,                                 1810Z  ",180,0
frus1969-76ve04d198,198. Memorandum From Samuel Hoskinson                             of the National Security Council Staff and the President’s Deputy                             Assistant for National Security Affairs (Haig) to Winston Lord and                                 Peter Rodman of the National Security Council                                 Staff  ,198. Memorandum From Samuel Hoskinson                             of the National Security Council Staff and the President’s Deputy                             Assistant for National Security Affairs (Haig) to Winston Lord and                                 Peter Rodman of the National Security Council                                 Staff  ,"198. Memorandum From Samuel Hoskinson                             of the National Security Council Staff and the President’s Deputy                             Assistant for National Security Affairs (Haig) to Winston Lord and                                 Peter Rodman of the National Security Council,                             Washington, May 27, 1972  ",23,0
frus1969-76ve04d199,199. Telegram 3166 From the Embassy in Iran                             to the Embassy in Moscow  ,199. Telegram 3166 From the Embassy in Iran                             to the Embassy in Moscow  ,"199. Telegram 3166 From the Embassy in Iran                             to the Embassy in Moscow, May 28, 1972,                                 0915Z  ",53,0
frus1969-76ve04d200,200. Memorandum of Conversation  ,200. Memorandum of Conversation  ,"200. Memorandum of Conversation, Tehran, May 30, 1972, 5:35 to 6:35                                 p.m.  ",73,0
frus1969-76ve04d201,201. Memorandum of Conversation  ,201. Memorandum of Conversation  ,"201. Memorandum of Conversation, Tehran, May 31, 1972, 10:30 a.m. to                             12:00 p.m.  ",76,0
frus1969-76ve04d202,202. Telegram 3254 From the Embassy in Iran                             to the Department of State  ,202. Telegram 3254 From the Embassy in Iran                             to the Department of State  ,"202. Telegram 3254 From the Embassy in Iran                             to the Department of State, May 31, 1972,                                 0837Z  ",53,0
frus1969-76ve04d203,203. Intelligence Note RNAN–18 Prepared in the Bureau of Intelligence                             and Research  ,203. Intelligence Note RNAN–18 Prepared in the Bureau of Intelligence                             and Research  ,"203. Intelligence Note RNAN–18, Prepared by the Bureau of Intelligence                             and Research Washington, June 12, 1972  ",29,0
frus1969-76ve04d204,204. Memorandum From Harold                                 Saunders of the National Security Staff to the                             President’s Assistant for National Security Affairs (Kissinger)  ,204. Memorandum From Harold                                 Saunders of the National Security Staff to the                             President’s Assistant for National Security Affairs (Kissinger)  ,"204. Memorandum From Harold                                 Saunders of the National Security Staff to the                             President’s Assistant for National Security Affairs (Kissinger), Washington, June                             12, 1972  ",55,0
frus1969-76ve04d205,205. Memorandum From the President’s Assistant for National Security                             Affairs (Kissinger)                             to Secretary of State Rogers and Secretary of Defense Laird  ,205. Memorandum From the President’s Assistant for National Security                             Affairs (Kissinger)                             to Secretary of State Rogers and Secretary of Defense Laird  ,"205. Memorandum From the President’s Assistant for National Security                             Affairs (Kissinger)                             to Secretary of State Rogers and Secretary of Defense Laird, Washington, June 15, 1972  ",27,0
